Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ALLE,Allegion PLC,Common stocks,Large cap,Industrials,"$10,502,488,482 ",1.22%,21.4,3.66,13.57,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Large cap,Communication Services,"$10,279,897,427 ",9.81%,4.97,0.52,0.85,Analyze
MHK,Mohawk Industries Inc,Common stocks,Large cap,Consumer Discretionary,"$10,046,065,563 ",0.00%,9.84,0.9,1.21,Analyze
ANET,Arista Networks Inc,Common stocks,Mid cap,Information Technology,"$9,982,107,096 ",0.00%,12.1,3.39,2.56,Analyze
PNR,Pentair,Common stocks,Mid cap,Industrials,"$9,859,192,288 ",1.35%,17.74,2.62,4.05,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Mid cap,Consumer Staples,"$9,698,148,444 ",1.41%,50.27,2.49,26.69,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$9,541,292,768 ",1.17%,20.3,1.79,74.41,Analyze
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$9,536,465,456 ",3.36%,3.92,0.43,2.35,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$9,439,331,380 ",1.60%,6.97,0.93,1.74,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$9,412,419,865 ",1.59%,12,1.57,2.21,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$9,354,614,817 ",3.62%,36.71,9.83,3.53,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$9,133,693,261 ",0.00%,-14.97,0.55,1.91,Analyze
PBCT,Peoples United Financial Inc,Common stocks,Mid cap,Financials,"$9,056,903,390 ",3.40%,15.46,4.79,1.16,Analyze
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$8,930,032,021 ",1.58%,6.07,1.13,-5.69,Analyze
PENN,Penn National Gaming Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,462,159,247 ",0.00%,20.17,1.43,2.76,Analyze
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$8,346,302,139 ",4.77%,67.92,5.25,1.32,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$7,652,502,146 ",4.87%,13.48,2.04,1.27,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$7,543,413,442 ",0.00%,15.89,1.22,2,Analyze
UA,Under Armour Inc Class C,Common stocks,Mid cap,Consumer Discretionary,"$7,540,505,280 ",0.00%,10.63,1.33,1.83,Analyze
UAA,Under Armour Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"$7,540,505,280 ",0.00%,9.04,1.33,1.56,Analyze
IPGP,IPG Photonics Corp,Common stocks,Mid cap,Information Technology,"$7,332,633,143 ",0.00%,35.15,0,2.73,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$7,203,222,533 ",2.53%,13.42,1.02,2.6,Analyze
PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"$7,057,244,490 ",0.04%,25.16,0,1.37,Analyze
NLSN,Nielsen Holdings Plc,Common stocks,Mid cap,Industrials,"$6,589,907,835 ",1.30%,8.38,1.54,2.12,Analyze
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$4,845,995,000 ",0.00%,-2.29,28.48,2.92,Analyze
