Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$23,347,766,072 ",1.95%,5.59,1.52,1.71,Analyze
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$23,326,165,551 ",0.99%,15.23,2.29,2.71,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$23,290,978,605 ",1.20%,6.7,1.71,0.85,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$23,290,978,605 ",1.09%,9.46,1.71,1.2,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$23,282,105,583 ",1.23%,20.89,2.94,5.6,Analyze
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$23,265,557,121 ",0.71%,83.17,5.48,3.52,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$23,168,601,326 ",1.36%,53.33,4.18,2.05,Analyze
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$23,086,502,116 ",0.00%,27.33,4.1,7.67,Analyze
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$23,055,567,234 ",0.56%,20.36,4.66,3.93,Analyze
SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$22,893,564,876 ",1.16%,16.55,4.66,4.34,Analyze
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$22,827,090,729 ",0.15%,24.63,4.5,3.22,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"$22,721,535,172 ",4.42%,36.11,1.54,1.53,Analyze
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$22,534,584,582 ",3.02%,24.91,1.51,2.59,Analyze
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$22,479,985,584 ",3.41%,6.66,0.81,1.14,Analyze
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$22,461,988,684 ",0.04%,25.82,2.98,3.58,Analyze
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$22,090,992,110 ",0.50%,92.86,18.29,18.07,Analyze
K,Kellogg,Common stocks,Large cap,Consumer Staples,"$22,033,121,846 ",3.53%,14.75,1.55,5.21,Analyze
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$22,016,329,392 ",3.80%,26.13,0,2.58,Analyze
RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$21,980,720,101 ",0.00%,-4.22,14.35,4.36,Analyze
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$21,741,364,556 ",5.75%,-16.41,3.49,1.49,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$21,698,077,530 ",2.59%,22.16,3.51,2.24,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$21,226,891,770 ",0.02%,6.73,7.26,2.86,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$21,140,709,722 ",0.02%,17.4,2.18,3.49,Analyze
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$20,900,389,918 ",0.00%,105.52,19.8,23.14,Analyze
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$20,787,495,652 ",3.74%,16.75,1.83,1.85,Analyze
SBNY,Signature Bank,Common stocks,Large cap,Financials,"$20,750,896,575 ",0.65%,26.86,11.21,2.76,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$20,710,296,946 ",2.60%,42.52,14.38,3.36,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$20,664,919,712 ",0.00%,141.84,14.95,47.96,Analyze
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$20,565,916,200 ",1.97%,24.07,18.6,3.39,Analyze
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$20,546,723,679 ",0.00%,23.79,2.54,10.39,Analyze
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$20,322,044,662 ",3.49%,104.46,5.45,1.89,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$20,268,731,488 ",0.67%,26.36,1.67,6.43,Analyze
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$20,109,467,228 ",2.17%,21.6,3.32,26.81,Analyze
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$19,848,978,077 ",0.00%,44.68,4.3,2.61,Analyze
FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$19,836,817,247 ",0.00%,23.63,7,6.92,Analyze
PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$19,793,209,569 ",3.18%,11.55,1.39,1.23,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$19,551,035,856 ",0.00%,180.44,0,8.28,Analyze
WAT,Waters Corp,Common stocks,Large cap,Health Care,"$19,525,502,453 ",0.00%,28.15,7.01,53.07,Analyze
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$19,497,252,247 ",0.00%,36.45,5.71,5.23,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$19,448,107,049 ",2.07%,13.99,0,1.58,Analyze
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$19,250,812,554 ",0.34%,19.02,5.2,7.55,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$18,863,509,856 ",2.81%,20.64,2.2,7.48,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$18,803,978,941 ",0.58%,32.04,6.17,4.48,Analyze
ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$18,793,977,639 ",0.00%,37.05,8.43,33.36,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$18,729,212,586 ",3.23%,38.59,6.48,15.55,Analyze
CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$18,647,199,486 ",1.50%,53.05,11.09,8,Analyze
