Name,symbol,AssetType,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Valuation
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,TLK,Common Stock,"Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk provides telecommunications, computing and network services globally. The company is headquartered in Bandung, Indonesia.",1001807,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"JL. JAPATI 1, BANDUNG, ID",December,2021-09-30,31587391000,None,24.48,0,6.4,0,0.0272,1.3,0.0,0.161,0.0,0.122,0.273,0.0,82073000000000.0,1.3,0.128,0.105,27.26,24.48,17.95,3.201,4.357,0.0002,0.0005,0.229,32.75,20.44,30.72,26.64,990622000.0,2021-07-14,2021-06-11,30431907840.0
The Trade Desk Inc,TTD,Common Stock,"Trade Desk, Inc. is a technology company in the United States and internationally. The company is headquartered in Ventura, California.",1671933,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","42 N. CHESTNUT STREET, VENTURA, CA, US",December,2021-12-31,35067970000,162336000,258.32,3.433,3.159,0,0,0.28,2.509,0.115,0.104,0.0246,0.108,1196467000.0,974913000.0,0.28,-0.944,0.237,96.32,258.32,82.64,29.31,23.28,29.15,208.81,2.206,114.09,46.71,70.64,78.73,440598000.0,None,None,31123842720.0
Zoom Video Communications Inc,ZM,Common Stock,"Zoom Video Communications, Inc. provides a premier video communications platform in the Americas, Asia Pacific, Europe, the Middle East, and Africa. The company is headquartered in San Jose, California.",1585521,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","55 ALMADEN BOULEVARD, 6TH FLOOR, SAN JOSE, CA, US",January,2022-01-31,35302613000,1178679000,26.25,5.22,19.33,0,0,4.496,13.84,0.336,0.276,0.11,0.285,4099864000.0,3045310000.0,4.496,0.851,0.214,200.1,26.25,35.97,8.61,6.53,7.92,29.19,-0.911,406.48,94.51,127.03,242.94,247289000.0,None,None,31413121670.0
Verisk Analytics Inc,VRSK,Common Stock,"Verisk Analytics, Inc. is an American data analytics and risk assessment firm based in Jersey City, New Jersey, with customers in insurance, natural resources, financial services, government, and risk management sectors. The company uses proprietary data sets and industry expertise to provide predictive analytics and decision support consultations in areas including fraud prevention, actuarial science, insurance coverage, fire protection, catastrophe and weather risk, and data management.",1442145,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"545 WASHINGTON BOULEVARD, JERSEY CITY, NJ, US",December,2021-12-31,34533917000,1383400000,52.48,3.04,17.42,1.16,0.0058,4.08,18.53,0.222,0.379,0.0925,0.24,2998600000.0,1940800000.0,4.08,-0.187,0.074,213.33,52.48,36.63,11.52,12.3,12.66,27.4,0.847,230.88,166.36,194.83,201.83,161283000.0,2022-03-31,2022-03-14,31422766890.000004
Orange S.A,ORAN,Common Stock,"Orange SA offers a range of fixed telephony and mobile telecommunications, data transmission and other value-added services to clients, companies and other telecommunications operators in France and internationally. The company is headquartered in Paris, France.",1038143,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"78 RUE OLIVIER DE SERRES, PARIS, FR",December,2021-12-31,31867261000,11644000000,3996.67,1.95,12.17,0.7,0.0779,0.003,16.0,0.0055,0.105,0.026,0.0215,42522001000.0,15562000000.0,0.003,-0.236,0.007,9.36,3996.67,9.53,0.749,0.896,1.606,6.07,0.21,12.56,9.85,11.85,11.27,2657820000.0,2021-12-30,2021-12-09,31495167000.0
Zscaler Inc,ZS,Common Stock,"Zscaler, Inc. is a global cloud security company. The company is headquartered in San Jose, California.",1713683,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"110 ROSE ORCHARD WAY, SAN JOSE, CA, US",July,2022-01-31,34736538000,-12825000,None,8.98,3.824,0,0,-2.388,6.21,-0.385,-0.313,-0.0765,-0.635,859558000.0,524019000.0,-2.388,0.0,0.627,329.43,-,434.78,40.41,63.82,39.31,-,1.014,376.11,157.03,240.36,268.38,141085000.0,None,None,33911190600.000004
Chunghwa Telecom Co. Ltd,CHT,Common Stock,"Chunghwa Telecom Co., Ltd. provides telecommunications services in Taiwan. The company is headquartered in Taipei City, Taiwan.",1132924,NYSE,USD,USA,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,"21-3 HSINYI ROAD, SECTION 1, TAIPEI, TW",December,2021-12-31,34675802000,79374623000,27.76,0,488.99,4.608,0.0346,1.61,271.32,0.17,0.215,0.0555,0.0953,210477941000.0,75367197000.0,1.61,0.05,0.007,37.63,27.76,26.32,0.165,2.622,0.162,0.401,-0.0615,45.87,37.69,43.74,41.53,775745000.0,2021-10-05,2021-08-24,33931086300.0
TELUS Corporation,TU,Common Stock,"TELUS Corporation offers a range of telecommunications and information technology products and services in Canada. The company is headquartered in Vancouver, Canada.",868675,NYSE,USD,USA,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,"510 W. GEORGIA STREET, 7TH FLOOR, VANCOUVER, BC, CA",December,2021-12-31,36511195000,4993000000,27.27,4,11.03,1.271,0.0385,0.976,12.51,0.0983,0.168,0.0387,0.119,16838000000.0,6030000000.0,0.976,1.323,0.098,27.37,27.27,25.58,2.168,2.921,3.059,8.18,0.539,26.65,19.35,25.04,23.33,1370210000.0,2022-04-01,2022-03-10,34310058400.0
CRH plc,CRH,Common Stock,"CRH plc manufactures and distributes construction materials. The company is headquartered in Dublin, Ireland.",849395,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-12-31,31591256000,5062000000,12.35,0.972,26.42,1.21,0.0301,3.26,39.71,0.0828,0.115,0.0499,0.127,30980999000.0,10488000000.0,3.26,1.5,0.102,24.01,12.35,11.53,1.02,1.551,1.221,6.8,0.95,53.32,37.23,46.05,49.25,767333000.0,2022-05-12,2022-03-16,35335684650.0
Electronic Arts Inc,EA,Common Stock,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, UNITED STATES",March,2021-12-31,35217433000,1371000000,56.28,20.75,27.0,0.68,0.0054,2.225,22.83,0.0983,0.153,0.0473,0.0822,6512000000.0,4135000000.0,2.225,-0.681,0.069,164.49,56.28,17.21,5.41,4.756,5.4,26.14,0.835,148.35,117.58,129.29,135.27,281222000.0,2022-03-23,2022-03-08,36359192380.0
